[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.002396s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002485s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.021229s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021339s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run ContentReplace Behavior [ RunTime:0.001295s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run TokenBuild Behavior [ RunTime:0.001203s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001024s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001355s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005114s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001296s ]
[ 2012-06-11T00:03:49+08:00 ] /me/diary//content.html?id=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001377s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run CheckRoute Behavior [ RunTime:0.001611s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001747s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001165s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001249s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007259s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000436s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.009169s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.000581s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000293s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001584s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001680s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run ParseTemplate Behavior [ RunTime:0.020712s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020814s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run ContentReplace Behavior [ RunTime:0.001102s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run TokenBuild Behavior [ RunTime:0.001698s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000789s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001038s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004918s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --START--
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001028s ]
[ 2012-06-11T00:04:10+08:00 ] /me/diary/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001111s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --START--
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run CheckRoute Behavior [ RunTime:0.001572s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001707s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --START--
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001382s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001476s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.007003s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.000613s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.007871s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | SQL: SELECT COUNT(id) AS num, `year_month` FROM my_article  GROUP BY `year_month` ORDER BY `year_month` DESC [ RunTime:0.000433s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --START--
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.001275s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001367s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --START--
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.017529s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017638s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --START--
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ContentReplace Behavior [ RunTime:0.001251s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run TokenBuild Behavior [ RunTime:0.001078s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001081s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001133s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004827s ]
[ 2012-06-11T00:04:13+08:00 ] /me/diary/content.html?id=1 | INFO: Tag[ view_end ] --START--
