[ 2012-08-17T22:30:53+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001229s ]
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001439s ]
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001567s ]
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001036s ]
[ 2012-08-17T22:31:02+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001110s ]
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001422s ]
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001558s ]
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001108s ]
[ 2012-08-17T22:31:06+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001190s ]
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.003414s ]
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.003557s ]
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001874s ]
[ 2012-08-17T22:31:07+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001955s ]
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002462s ]
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002586s ]
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001598s ]
[ 2012-08-17T22:34:03+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001671s ]
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001381s ]
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001503s ]
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001546s ]
[ 2012-08-17T22:35:51+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001624s ]
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002640s ]
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002827s ]
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002389s ]
[ 2012-08-17T22:36:49+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002535s ]
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002269s ]
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002500s ]
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001677s ]
[ 2012-08-17T22:37:09+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001810s ]
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001381s ]
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001504s ]
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001043s ]
[ 2012-08-17T22:37:20+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001115s ]
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002295s ]
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002418s ]
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001588s ]
[ 2012-08-17T22:37:45+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001661s ]
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001818s ]
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001943s ]
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001018s ]
[ 2012-08-17T22:37:51+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001088s ]
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002421s ]
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002670s ]
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001769s ]
[ 2012-08-17T22:37:58+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001902s ]
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001886s ]
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002080s ]
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001552s ]
[ 2012-08-17T22:38:16+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001660s ]
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.001829s ]
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.001950s ]
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001021s ]
[ 2012-08-17T22:38:25+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001091s ]
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002477s ]
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002645s ]
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001081s ]
[ 2012-08-17T22:38:30+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001153s ]
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002528s ]
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002659s ]
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001034s ]
[ 2012-08-17T22:39:02+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002309s ]
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002442s ]
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001322s ]
[ 2012-08-17T23:52:13+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001402s ]
[ 2012-08-17T23:52:15+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
