[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002117s ]
[ 2012-08-21T22:51:17+08:00 ] /gallery/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002197s ]
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002520s ]
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002654s ]
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001929s ]
[ 2012-08-21T22:51:18+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002004s ]
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Run CheckRoute Behavior [ RunTime:0.002827s ]
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003339s ]
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002134s ]
[ 2012-08-21T22:51:24+08:00 ] /message/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002229s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u 
       		WHERE(article_id='10000' and pid=0 AND c.userid = u.id) order by createtime desc [ RunTime:0.133855s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 34 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 38 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='47' AND c.userid = u.id) order by createtime desc [ RunTime:0.000404s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 34 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 38 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='41' AND c.userid = u.id) order by createtime desc [ RunTime:0.000406s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 114 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 118 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | SQL: SELECT c.id AS cid, pid, `comment`, c.create_time AS createtime, username,realname, avatar FROM my_comment AS c, my_user AS u
    			WHERE(article_id='10000' and pid='43' AND c.userid = u.id) order by createtime desc [ RunTime:0.000362s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 114 行.
[ 2012-08-21T22:51:25+08:00 ] /message/ | NOTIC: [8] Undefined index: Sada_username MessageAction.class.php 第 118 行.
