[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.014604s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014710s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001808s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.007757s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001463s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001132s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012996s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001148s ]
[ 2012-06-12T00:05:48+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001224s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002649s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002815s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006561s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006744s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001498s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001605s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.016590s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016707s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.001123s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001326s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000940s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001391s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005053s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001145s ]
[ 2012-06-12T00:06:16+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001234s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002713s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002865s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002242s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002341s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001088s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001200s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.032268s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032401s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.002315s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.001178s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005010s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001326s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010134s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001161s ]
[ 2012-06-12T00:06:49+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001256s ]
