[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001065s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001233s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005990s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001176s ]
[ 2012-06-13T22:50:26+08:00 ] /me/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001252s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.004823s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.004983s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002083s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002188s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.005574s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.005733s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.043475s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043855s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run ContentReplace Behavior [ RunTime:0.002028s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run TokenBuild Behavior [ RunTime:0.007305s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004406s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.004073s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018294s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --START--
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.002273s ]
[ 2012-06-13T22:51:58+08:00 ] /me/user/login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.002384s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --START--
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Run CheckRoute Behavior [ RunTime:0.002870s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003034s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001716s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001799s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | SQL: SHOW COLUMNS FROM `my_user` [ RunTime:0.007468s ]
[ 2012-06-13T23:01:51+08:00 ] /me/user/login_p.html | SQL: SELECT * FROM `my_user` WHERE ( `username` = 'xiaowei' ) AND ( `password` = 'c1efefc7c4396e847ee947cc033f55a8' ) LIMIT 1   [ RunTime:0.000604s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --START--
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.002759s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002914s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --START--
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001674s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001753s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --START--
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.002426s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.002537s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --START--
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.027518s ]
[ 2012-06-13T23:02:34+08:00 ] /me/user/login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027631s ]
